Order_ID,Order_Date,Ship_Date,Ship Mode,Customer_ID,Product_ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
CA-2016-160304,2016-01-02,2016-01-07,Standard Class,BM-11575,FUR-BO-10004709,Furniture,Bookcases,"Bush Westfield Collection Bookcases, Medium Cherry Finish",173.94,3,0,38.2668
CA-2016-160304,2016-01-02,2016-01-07,Standard Class,BM-11575,TEC-PH-10000455,Technology,Phones,GE 30522EE2,231.98,2,0,67.2742
CA-2016-125206,2016-01-03,2016-01-05,First Class,LR-16915,OFF-ST-10003692,Office Supplies,Storage,Recycled Steel Personal File for Hanging File Folders,114.46,2,0,28.615
US-2016-116365,2016-01-03,2016-01-08,Standard Class,CA-12310,TEC-AC-10002217,Technology,Accessories,Imation Clip USB flash drive - 8 GB,30.08,2,0.2,-5.264
US-2016-116365,2016-01-03,2016-01-08,Standard Class,CA-12310,TEC-AC-10002942,Technology,Accessories,WD My Passport Ultra 1TB Portable External Hard Drive,165.6,3,0.2,-6.21
US-2016-116365,2016-01-03,2016-01-08,Standard Class,CA-12310,TEC-PH-10002890,Technology,Phones,AT&T 17929 Lendline Telephone,180.96,5,0.2,13.572
CA-2016-105207,2016-01-03,2016-01-08,Standard Class,BO-11350,FUR-TA-10000617,Furniture,Tables,"Hon Practical Foundations 30 x 60 Training Table, Light Gray/Charcoal",1592.85,7,0,350.427
CA-2016-105207,2016-01-03,2016-01-08,Standard Class,BO-11350,OFF-BI-10004364,Office Supplies,Binders,Storex Dura Pro Binders,11.88,2,0,5.346
US-2016-164630,2016-01-04,2016-01-09,Standard Class,EB-13975,TEC-CO-10000971,Technology,Copiers,Hewlett Packard 310 Color Digital Copier,959.968,4,0.2,119.996
CA-2016-158211,2016-01-04,2016-01-08,Standard Class,BP-11185,OFF-AR-10004078,Office Supplies,Art,Newell 312,4.672,1,0.2,0.584
CA-2016-158211,2016-01-04,2016-01-08,Standard Class,BP-11185,OFF-BI-10002026,Office Supplies,Binders,Avery Arch Ring Binders,104.58,6,0.7,-80.178
CA-2016-134474,2016-01-05,2016-01-07,Second Class,AJ-10795,TEC-AC-10001714,Technology,Accessories,Logitech MX Performance Wireless Mouse,191.472,6,0.2,40.6878
CA-2016-134474,2016-01-05,2016-01-07,Second Class,AJ-10795,OFF-AR-10003958,Office Supplies,Art,Newell 337,5.248,2,0.2,0.5904
CA-2016-134474,2016-01-05,2016-01-07,Second Class,AJ-10795,TEC-PH-10002923,Technology,Phones,"Logitech B530 USB Headset - headset - Full size, Binaural",59.184,2,0.2,5.1786
CA-2016-101938,2016-01-07,2016-01-12,Standard Class,DW-13480,OFF-AR-10003696,Office Supplies,Art,Panasonic KP-350BK Electric Pencil Sharpener with Auto Stop,34.58,1,0,10.0282
